parliament,date,name,url,ayes,noes,ayes_noscotland,noes_noscotland,different
2017,09-May-18,Data Protection Bill — Clause 14 — Automated Decision Making — Human Rights,http://www.publicwhip.org.uk/division.php?date=2018-05-09&house=commons&number=154&display=allvotes,283,312,243,299,FALSE
2017,09-May-18,Data Protection Bill — New Clause 4 — Bill of Data Rights in the Digital Environment,http://www.publicwhip.org.uk/division.php?date=2018-05-09&house=commons&number=153&display=allvotes,285,311,245,298,FALSE
2017,09-May-18,Data Protection Bill — New Clause 18 — Inquiry — Data Protection Breaches by National News Publishers and Other Media Organisations,http://www.publicwhip.org.uk/division.php?date=2018-05-09&house=commons&number=152&display=allvotes,297,306,256,293,FALSE
2017,08-May-18,Criminal Legal Aid — Determination of Payment Levels,http://www.publicwhip.org.uk/division.php?date=2018-05-08&house=commons&number=151&display=allvotes,254,302,245,289,FALSE
2017,08-May-18,Nuclear Safeguards Bill — Continuity of Nuclear Safeguarding Arrangements,http://www.publicwhip.org.uk/division.php?date=2018-05-08&house=commons&number=150&display=allvotes,308,279,295,246,FALSE
2017,08-May-18,Secure Tenancies (Victims of Domestic Abuse) Bill — Clause 1 — Victims of Domestic Abuse — Benefit Reduction in Respect of Excess Bedrooms,http://www.publicwhip.org.uk/division.php?date=2018-05-08&house=commons&number=149&display=allvotes,248,304,239,291,FALSE
2017,02-May-18,Tribunals and Inquiries — Panel Composition,http://www.publicwhip.org.uk/division.php?date=2018-05-02&house=commons&number=147&display=allvotes,315,202,302,167,FALSE
2017,02-May-18,Lawful Immigration from Commonwealth Countries Prior to 1973 — Windrush — Provision of Papers,http://www.publicwhip.org.uk/division.php?date=2018-05-02&house=commons&number=148&display=allvotes,223,318,186,305,FALSE
2017,01-May-18,Sanctions and Anti-Money Laundering Bill — Clause 48 — Powers for Ministers to Amend or Revoke Acts of Parliament,http://www.publicwhip.org.uk/division.php?date=2018-05-01&house=commons&number=146&display=allvotes,297,315,252,302,FALSE
2017,01-May-18,Sanctions and Anti-Money Laundering Bill — New Clause 13 — Requirement for Companies House and Others to Identify Beneficial Ownwers of Companies on Formation,http://www.publicwhip.org.uk/division.php?date=2018-05-01&house=commons&number=145&display=allvotes,299,315,254,302,FALSE
2017,01-May-18,Sanctions and Anti-Money Laundering Bill — New Clause 8 — Public Register of Beneficial Owners of Overseas Entities,http://www.publicwhip.org.uk/division.php?date=2018-05-01&house=commons&number=144&display=allvotes,298,316,253,303,FALSE
2017,01-May-18,Sanctions and Anti-Money Laundering Bill — New Clause 19 — Scottish Limited Partnerships: UK Bank Account Requirement,http://www.publicwhip.org.uk/division.php?date=2018-05-01&house=commons&number=143&display=allvotes,299,316,254,303,FALSE
2017,30-Apr-18,Domestic Gas and Electricity (Tariff Cap) Bill — New Clause 1 — Cap Difference Between Cheapest Rate and Most Expensive Standard Variable Rates,http://www.publicwhip.org.uk/division.php?date=2018-04-30&house=commons&number=142&display=allvotes,127,290,120,277,FALSE
2017,27-Apr-18,Motion to Sit in Private,http://www.publicwhip.org.uk/division.php?date=2018-04-27&house=commons&number=141&display=allvotes,4,71,3,70,FALSE
2017,24-Apr-18,Financial Guidance and Claims Bill — Clause 3 — Functions of new Financial Guidance Body,http://www.publicwhip.org.uk/division.php?date=2018-04-24&house=commons&number=140&display=allvotes,257,295,222,282,FALSE
2017,24-Apr-18,Financial Guidance and Claims Bill — Clause 2 — Objectives of new Financial Guidance Body,http://www.publicwhip.org.uk/division.php?date=2018-04-24&house=commons&number=139&display=allvotes,257,295,222,282,FALSE
2017,23-Apr-18,Higher Education and Research — Transitional Arrangements for Governance Reforms,http://www.publicwhip.org.uk/division.php?date=2018-04-23&house=commons&number=138&display=allvotes,213,293,206,280,FALSE
2017,17-Apr-18,Military Action Overseas: Parliamentary Approval — Consideration of Parliament's Rights,http://www.publicwhip.org.uk/division.php?date=2018-04-17&house=commons&number=137&display=allvotes,319,258,306,215,FALSE
2017,16-Apr-18,Situation in Syria,http://www.publicwhip.org.uk/division.php?date=2018-04-16&house=commons&number=136&display=allvotes,316,38,303,7,FALSE
2017,28-Mar-18,Police Officer Numbers,http://www.publicwhip.org.uk/division.php?date=2018-03-28&house=commons&number=135&display=allvotes,205,2,198,0,FALSE
2017,28-Mar-18,Local Government Funding,http://www.publicwhip.org.uk/division.php?date=2018-03-28&house=commons&number=134&display=allvotes,240,2,232,0,FALSE
